Last login: Tue Oct  8 00:26:39 on console
lixinyandeMacBook-Pro:~ saaries$ source vtf.sh
(targetDirectory) lixinyandeMacBook-Pro:targetDirectory saaries$ cd /Users/saaries/Downloads/pydodge2
(targetDirectory) lixinyandeMacBook-Pro:pydodge2 saaries$ python train_dqn_v3.py
/Users/saaries/targetDirectory/lib/python3.6/site-packages/h5py-2.7.1-py3.6-macosx-10.6-intel.egg/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
Using TensorFlow backend.
2019-10-10 14:56:58.247728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
WARNING:tensorflow:Variable *= will be deprecated. Use variable.assign_mul if you want assignment to the variable value or 'x = x * y' if you want a new python Tensor object.
14891 15 -0.958
14907 19 -0.944
14917 16 -0.955
14927 20 -0.942
14969 14 -0.96
15010 9 -0.974
15043 33 -0.9029999999999999
15072 19 -0.945
15097 29 -0.9149999999999999
15119 50 -0.853
15177 22 -0.9359999999999999
15190 16 -0.954
15220 14 -0.96
15243 48 -0.857
15257 20 -0.943
15269 30 -0.9119999999999999
15313 25 -0.9259999999999999
15316 25 -0.9279999999999999
15342 17 -0.951
15374 9 -0.975
15391 9 -0.974
15402 25 -0.9279999999999999
15433 40 -0.8829999999999999
15436 41 -0.8799999999999999
15437 13 -0.964
15471 19 -0.945
15533 15 -0.957
15541 22 -0.9349999999999999
15553 17 -0.95
15557 37 -0.8909999999999999
15591 47 -0.8599999999999999
15593 37 -0.8899999999999999
15597 12 -0.965
15687 11 -0.97
15692 16 -0.954
15702 19 -0.944
15795 18 -0.947
15828 29 -0.9149999999999999
15830 15 -0.958
15889 37 -0.8909999999999999
15895 40 -0.8819999999999999
15946 60 -0.821
15956 33 -0.9019999999999999
15962 35 -0.8959999999999999
15979 9 -0.974
15992 17 -0.951
16022 13 -0.963
16041 28 -0.9169999999999999
16062 11 -0.969
16073 14 -0.96
16080 50 -0.8519999999999999
16122 40 -0.8819999999999999
16132 31 -0.9079999999999999
16156 39 -0.8859999999999999
16206 10 -0.973
16216 12 -0.966
16240 13 -0.964
16248 38 -0.8869999999999999
16250 18 -0.949
16270 10 -0.971
16303 11 -0.969
16352 19 -0.946
16378 12 -0.967
16380 26 -0.9229999999999999
16406 13 -0.963
16450 22 -0.9349999999999999
16466 43 -0.8719999999999999
16470 13 -0.964
16473 35 -0.8959999999999999
16503 18 -0.949
16519 47 -0.861
16525 12 -0.967
16568 22 -0.9369999999999999
16584 14 -0.96
16608 10 -0.971
16620 15 -0.956
16671 38 -0.8869999999999999
